票證公司編號,客運公司編號,卡號,票種編號,票種代碼,路線公路編號,司機編號,車號,上車時間(上),計費站序(上),計費站名(上),下車時間(下),計費站序(下),計費站名(下),交易實扣,原始票價,優惠票價,優惠額度額
ECC,47000,346341608,c,愛心卡,1121,109,FAC-798,2021/4/1 07:59,13,光復站,2021/4/1 09:02,5,壽豐,0,46,40,6
ECC,47000,3498829544,c,愛心卡,1121,109,FAC-798,2021/4/1 08:00,13,光復站,2021/4/1 09:02,5,壽豐,0,46,40,6
ECC,47000,953934549,d,陪伴卡,1121,109,FAC-798,2021/4/1 08:00,13,光復站,2021/4/1 09:02,5,壽豐,40,46,40,6
ECC,47000,2230769128,c,愛心卡,1121,109,FAC-798,2021/4/1 08:00,13,光復站,2021/4/1 09:19,4,志學,0,53,47,6
ECC,47000,345801192,1,敬老卡,1121,109,FAC-798,2021/4/1 08:02,13,光復站,2021/4/1 08:11,12,萬榮,0,13,11,2
ECC,47000,1182506984,1,敬老卡,1121,109,FAC-798,2021/4/1 08:11,12,萬榮,2021/4/1 08:22,10,鳳林,0,13,11,2
ECC,47000,1619179752,c,愛心卡,1121,109,FAC-798,2021/4/1 08:20,10,鳳林,2021/4/1 09:41,1,花蓮火車站,0,58,51,7
ECC,47000,1719497093,e,學生卡,1121,109,FAC-798,2021/4/1 08:24,10,鳳林,2021/4/1 09:06,4,志學,61,69,61,8
ECC,47000,1744630693,c,愛心卡,1121,109,FAC-798,2021/4/1 08:31,9,南平,2021/4/1 09:02,5,壽豐,0,21,18,3
ECC,47000,1619799784,1,敬老卡,1121,109,FAC-798,2021/4/1 08:34,9,南平,2021/4/1 09:16,4,志學,0,29,25,4
ECC,47000,1721074053,1,敬老卡,1121,109,FAC-798,2021/4/1 08:38,8,林榮,2021/4/1 09:53,1,花蓮火車站,0,47,41,6
ECC,47000,3320510424,1,敬老卡,1121,109,FAC-798,2021/4/1 08:45,7,溪口,2021/4/1 09:47,1,花蓮火車站,0,41,36,5
ECC,47000,1105963749,c,愛心卡,1121,109,FAC-798,2021/4/1 08:49,6,豐田,2021/4/1 09:53,1,花蓮火車站,0,35,30,5
ECC,47000,768571205,a,一般卡,1121,109,FAC-798,2021/4/1 08:49,6,豐田,2021/4/1 09:36,1,花蓮火車站,61,69,61,8
ECC,47000,3359006936,1,敬老卡,1121,109,FAC-798,2021/4/1 08:51,6,豐田,2021/4/1 09:43,1,花蓮火車站,0,35,30,5
ECC,47000,1747107381,1,敬老卡,1121,109,FAC-798,2021/4/1 09:13,4,志學,2021/4/1 09:41,1,花蓮火車站,0,23,20,3
ECC,47000,3320617432,c,愛心卡,1121,109,FAC-798,2021/4/1 09:16,4,志學,2021/4/1 09:41,1,花蓮火車站,0,23,20,3
ECC,47000,260125160,1,敬老卡,1121,109,FAC-798,2021/4/1 09:41,1,花蓮火車站,2021/4/1 09:50,1,花蓮火車站,0,13,11,2
ECC,47000,260572392,1,敬老卡,1121,109,FAC-798,2021/4/1 09:43,1,花蓮火車站,2021/4/1 09:53,1,花蓮火車站,0,13,11,2
ECC,47000,1618592744,c,愛心卡,1121,111,FAC-771,2021/4/1 14:30,10,鳳林,2021/4/1 15:44,1,花蓮火車站,0,58,51,7
ECC,47000,1751388245,e,學生卡,1121,111,FAC-771,2021/4/1 15:04,5,壽豐,2021/4/1 15:44,1,花蓮火車站,54,61,54,7
ECC,47000,951063733,a,一般卡,1121,111,FAC-771,2021/4/1 15:32,1,花蓮火車站,2021/4/1 15:44,1,花蓮火車站,22,25,22,3
ECC,47000,1411621505,c,愛心卡,1121,111,FAC-771,2021/4/1 15:32,1,花蓮火車站,2021/4/1 15:44,1,花蓮火車站,11,13,11,2
ECC,47000,1112802517,1,敬老卡,1121,111,FAC-771,2021/4/1 15:33,1,花蓮火車站,2021/4/1 15:37,1,花蓮火車站,0,13,11,2
ECC,47000,3318886104,1,敬老卡,1121,111,FAC-771,2021/4/1 17:00,1,花蓮火車站,2021/4/1 18:27,9,南平,0,52,45,7
ECC,47000,1707216693,a,一般卡,1121,111,FAC-771,2021/4/1 17:00,1,花蓮火車站,2021/4/1 18:24,8,林榮,83,94,83,11
ECC,47000,1721043973,c,愛心卡,1121,111,FAC-771,2021/4/1 17:00,1,花蓮火車站,2021/4/1 17:32,2,吉安分局,0,13,11,2
ECC,47000,1747308277,1,敬老卡,1121,111,FAC-771,2021/4/1 17:00,1,花蓮火車站,2021/4/1 18:51,13,光復站,0,76,67,9
ECC,47000,600643073,a,一般卡,1121,111,FAC-771,2021/4/1 17:01,1,花蓮火車站,2021/4/1 18:53,13,光復站,134,152,134,18
ECC,47000,346340840,c,愛心卡,1121,111,FAC-771,2021/4/1 17:01,1,花蓮火車站,2021/4/1 18:51,13,光復站,0,76,67,9
ECC,47000,1064127829,a,一般卡,1121,111,FAC-771,2021/4/1 17:01,1,花蓮火車站,2021/4/1 17:48,4,志學,40,46,40,6
