票證公司編號,客運公司編號,卡號,票種編號,票種代碼,路線公路編號,司機編號,車號,上車時間(上),計費站序(上),計費站名(上),下車時間(下),計費站序(下),計費站名(下),交易實扣,原始票價,優惠票價,優惠額度額
ECC,47000,2062277608,1,敬老卡,1121,109,FAC-798,2021/7/1 06:06,13,光復站,2021/7/1 07:17,2,吉安分局,0,69,61,8
ECC,47000,3497624296,c,愛心卡,1121,109,FAC-798,2021/7/1 06:49,6,豐田,2021/7/1 07:32,1,花蓮火車站,0,35,30,5
ECC,47000,2694266543,a,一般卡,1121,109,FAC-798,2021/7/1 07:01,4,志學,2021/7/1 07:28,1,花蓮火車站,40,46,40,6
ECC,47000,1178541013,1,敬老卡,1121,109,FAC-798,2021/7/1 07:19,1,花蓮火車站,2021/7/1 07:23,1,花蓮火車站,0,13,11,2
ECC,47000,1177342885,c,愛心卡,1121,109,FAC-798,2021/7/1 10:25,1,花蓮火車站,2021/7/1 10:58,3,南華車站,0,17,15,2
ECC,47000,344389096,1,敬老卡,1121,109,FAC-798,2021/7/1 10:26,1,花蓮火車站,2021/7/1 12:15,13,光復站,0,76,67,9
ECC,47000,1862126824,1,敬老卡,1121,109,FAC-798,2021/7/1 10:41,1,花蓮火車站,2021/7/1 11:23,5,壽豐,0,31,27,4
ECC,47000,315259624,1,敬老卡,1121,109,FAC-798,2021/7/1 10:41,1,花蓮火車站,2021/7/1 11:05,4,志學,0,23,20,3
ECC,47000,346152168,1,敬老卡,1121,109,FAC-798,2021/7/1 17:03,13,光復站,2021/7/1 17:09,12,萬榮,0,13,11,2
ECC,47000,945015621,a,一般卡,1121,109,FAC-798,2021/7/1 18:06,4,志學,2021/7/1 18:28,1,花蓮火車站,40,46,40,6
ECC,47000,1179285461,c,愛心卡,1121,135,FAC-805,2021/7/1 17:54,1,花蓮火車站,2021/7/1 19:16,13,光復站,0,76,67,9
ECC,47000,1178360005,1,敬老卡,1121,135,FAC-805,2021/7/1 17:59,1,花蓮火車站,2021/7/1 18:10,1,花蓮火車站,0,13,11,2
ECC,47000,422720785,f,優待卡,1121,135,FAC-805,2021/7/1 17:59,1,花蓮火車站,2021/7/1 18:30,4,志學,20,23,20,3
ECC,47000,965153633,e,學生卡,1121,135,FAC-805,2021/7/1 18:10,1,花蓮火車站,2021/7/1 18:30,4,志學,40,46,40,6
ECC,47000,965250577,e,學生卡,1121,135,FAC-805,2021/7/1 18:10,1,花蓮火車站,2021/7/1 18:30,4,志學,40,46,40,6
ECC,47000,1179263973,c,愛心卡,1121,135,FAC-805,2021/7/1 18:10,1,花蓮火車站,2021/7/1 19:15,13,光復站,0,76,67,9
ECC,47000,2062277608,1,敬老卡,1121,138,FAC-801,2021/7/1 13:26,2,吉安分局,2021/7/1 14:44,13,光復站,0,69,61,8
ECC,47000,1197017064,1,敬老卡,1121,138,FAC-801,2021/7/1 18:54,13,光復站,2021/7/1 20:11,2,吉安分局,0,69,61,8
ECC,47000,1681399797,1,敬老卡,1121,151,948-FW,2021/7/1 11:20,13,光復站,2021/7/1 11:42,10,鳳林,0,19,16,3
ECC,47000,1179263973,c,愛心卡,1121,151,948-FW,2021/7/1 11:24,13,光復站,2021/7/1 12:52,1,花蓮火車站,0,76,67,9
ECC,47000,965250577,e,學生卡,1121,151,948-FW,2021/7/1 12:23,4,志學,2021/7/1 12:44,1,花蓮火車站,40,46,40,6
ECC,47000,1113032661,1,敬老卡,1121,151,948-FW,2021/7/1 12:26,4,志學,2021/7/1 12:40,1,花蓮火車站,0,23,20,3
ECC,47000,1178360005,1,敬老卡,1121,151,948-FW,2021/7/1 12:45,1,花蓮火車站,2021/7/1 12:52,1,花蓮火車站,0,13,11,2
ECC,47000,3359189464,1,敬老卡,1121,151,948-FW,2021/7/1 14:24,1,花蓮火車站,2021/7/1 14:43,1,花蓮火車站,0,13,11,2
KRTC,47000,12EBF714,A1,高捷一般卡,1121,151,948-FW,2021/7/1 14:56,3,南華車站,2021/7/1 15:04,4,志學,22,25,22,3
ECC,47000,346152168,1,敬老卡,1121,151,948-FW,2021/7/1 16:05,13,光復站,2021/7/1 16:12,13,光復站,0,13,11,2
ECC,47000,1746464437,1,敬老卡,1121,227,FAC-797,2021/7/1 09:03,1,花蓮火車站,2021/7/1 10:47,13,光復站,0,76,67,9
ECC,47000,3497624296,c,愛心卡,1121,227,FAC-797,2021/7/1 09:05,1,花蓮火車站,2021/7/1 10:06,7,溪口,0,41,36,5
ECC,47000,1178541013,1,敬老卡,1121,227,FAC-797,2021/7/1 09:20,1,花蓮火車站,2021/7/1 09:22,1,花蓮火車站,0,13,11,2
ECC,47000,1177879925,c,愛心卡,1121,227,FAC-797,2021/7/1 10:01,5,壽豐,2021/7/1 10:47,13,光復站,0,46,40,6
ECC,47000,1617249256,c,愛心卡,1121,227,FAC-797,2021/7/1 10:28,10,鳳林,2021/7/1 10:38,12,萬榮,0,13,11,2
ECC,47000,344389096,1,敬老卡,1121,227,FAC-797,2021/7/1 16:00,13,光復站,2021/7/1 17:37,1,花蓮火車站,0,76,67,9
ECC,47000,3498548712,c,愛心卡,1121,227,FAC-797,2021/7/1 17:00,5,壽豐,2021/7/1 17:22,3,南華車站,0,14,12,2
ECC,47000,1747112837,c,愛心卡,1121,287,977-FW,2021/7/1 11:53,1,花蓮火車站,2021/7/1 12:32,4,志學,0,23,20,3
ECC,47000,659331957,a,一般卡,1121,287,977-FW,2021/7/1 11:57,1,花蓮火車站,2021/7/1 12:10,1,花蓮火車站,22,25,22,3
ECC,47000,1620636648,c,愛心卡,1121,287,977-FW,2021/7/1 13:02,8,林榮,2021/7/1 13:11,10,鳳林,0,13,11,2
ECC,47000,1747112837,c,愛心卡,1121,287,977-FW,2021/7/1 18:39,5,壽豐,2021/7/1 18:55,4,志學,0,13,11,2
ECC,47000,1745349589,1,敬老卡,1121,297,FAC-795,2021/7/1 08:52,13,光復站,2021/7/1 08:57,12,萬榮,0,13,11,2
ECC,47000,1617249256,c,愛心卡,1121,297,FAC-795,2021/7/1 09:01,12,萬榮,2021/7/1 09:10,10,鳳林,0,13,11,2
ECC,47000,1747112837,c,愛心卡,1121,297,FAC-795,2021/7/1 09:47,4,志學,2021/7/1 10:15,1,花蓮火車站,0,23,20,3
ECC,47000,3673144226,a,一般卡,1121,297,FAC-795,2021/7/1 09:47,4,志學,2021/7/1 10:10,1,花蓮火車站,40,46,40,6
ECC,47000,1178759957,c,愛心卡,1121,297,FAC-795,2021/7/1 20:21,1,花蓮火車站,2021/7/1 20:42,3,南華車站,0,17,15,2
ECC,47000,1111719013,e,學生卡,1121,297,FAC-795,2021/7/1 20:31,1,花蓮火車站,2021/7/1 20:52,5,壽豐,54,61,54,7
ECC,47000,1107473637,e,學生卡,1121,297,FAC-795,2021/7/1 20:32,1,花蓮火車站,2021/7/1 20:52,5,壽豐,54,61,54,7
ECC,47000,1745279669,1,敬老卡,1121,321,FAC-766,2021/7/1 14:54,5,壽豐,2021/7/1 15:20,3,南華車站,0,14,12,2
ECC,47000,1745314277,c,愛心卡,1121,321,FAC-766,2021/7/1 14:54,5,壽豐,2021/7/1 15:20,3,南華車站,0,14,12,2
ECC,47000,965153633,e,學生卡,1121,321,FAC-766,2021/7/1 15:08,4,志學,2021/7/1 15:31,1,花蓮火車站,40,46,40,6
ECC,47000,1682483749,1,敬老卡,1121,321,FAC-766,2021/7/1 17:01,1,花蓮火車站,2021/7/1 18:42,13,光復站,0,76,67,9
ECC,47000,2694266543,a,一般卡,1121,321,FAC-766,2021/7/1 17:14,1,花蓮火車站,2021/7/1 17:42,4,志學,40,46,40,6
ECC,47000,905182386,a,一般卡,1121,321,FAC-766,2021/7/1 18:23,10,鳳林,2021/7/1 18:27,11,榮民醫院,22,25,22,3
ECC,47000,808413477,e,學生卡,1121,327,953-FW,2021/7/1 06:06,1,花蓮火車站,2021/7/1 06:55,8,林榮,83,94,83,11
ECC,47000,1745692309,1,敬老卡,1121,327,953-FW,2021/7/1 06:55,8,林榮,2021/7/1 07:09,11,榮民醫院,0,14,12,2
ECC,47000,1745349589,1,敬老卡,1121,327,953-FW,2021/7/1 07:16,12,萬榮,2021/7/1 07:20,13,光復站,0,13,11,2
ECC,47000,945015621,a,一般卡,1121,383,923-FW,2021/7/1 07:19,1,花蓮火車站,2021/7/1 07:40,4,志學,40,46,40,6
ECC,47000,3498548712,c,愛心卡,1121,383,923-FW,2021/7/1 07:28,3,南華車站,2021/7/1 07:48,5,壽豐,0,14,12,2
ECC,47000,1620636648,c,愛心卡,1121,383,923-FW,2021/7/1 13:39,10,鳳林,2021/7/1 13:49,8,林榮,0,13,11,2
ECC,47000,1745692309,1,敬老卡,1121,383,923-FW,2021/7/1 13:39,10,鳳林,2021/7/1 13:49,8,林榮,0,13,11,2
ECC,47000,1107473637,e,學生卡,1121,383,923-FW,2021/7/1 14:11,5,壽豐,2021/7/1 14:37,1,花蓮火車站,54,61,54,7
ECC,47000,1111719013,e,學生卡,1121,383,923-FW,2021/7/1 14:11,5,壽豐,2021/7/1 14:37,1,花蓮火車站,54,61,54,7
ECC,47000,1179285461,c,愛心卡,1121,386,926-FW,2021/7/1 07:51,13,光復站,2021/7/1 09:30,1,花蓮火車站,0,76,67,9
ECC,47000,346153448,1,敬老卡,1121,386,926-FW,2021/7/1 08:05,13,光復站,2021/7/1 09:25,1,花蓮火車站,0,76,67,9
ECC,47000,3359250904,c,愛心卡,1121,386,926-FW,2021/7/1 08:18,11,榮民醫院,2021/7/1 08:24,10,鳳林,0,13,11,2
ECC,47000,1862126824,1,敬老卡,1121,386,926-FW,2021/7/1 08:50,5,壽豐,2021/7/1 09:25,1,花蓮火車站,0,31,27,4
ECC,47000,315259624,1,敬老卡,1121,386,926-FW,2021/7/1 09:06,4,志學,2021/7/1 09:25,1,花蓮火車站,0,23,20,3
ECC,47000,261388008,1,敬老卡,1122,123,FAC-789,2021/7/1 09:35,17,瑞穗,2021/7/1 09:52,15,富源,0,15,13,2
ECC,47000,314336232,1,敬老卡,1122,123,FAC-789,2021/7/1 09:37,17,瑞穗,2021/7/1 09:50,15,富源,0,15,13,2
ECC,47000,813744433,b,敬老卡,1122,123,FAC-789,2021/7/1 15:40,1,花蓮火車站,2021/7/1 16:53,12,萬榮,47,66,58,8
ECC,47000,1682670149,c,愛心卡,1122,123,FAC-789,2021/7/1 15:50,1,花蓮火車站,2021/7/1 16:05,3,南華車站,0,17,15,2
ECC,47000,1747112837,c,愛心卡,1122,123,FAC-789,2021/7/1 16:12,4,志學,2021/7/1 16:23,5,壽豐,0,13,11,2
ECC,47000,1746464437,1,敬老卡,1122,327,953-FW,2021/7/1 14:35,15,富源,2021/7/1 16:14,1,花蓮火車站,0,94,83,11
ECC,47000,1681399797,1,敬老卡,1122,386,926-FW,2021/7/1 12:23,10,鳳林,2021/7/1 12:45,13,光復站,0,19,17,2
ECC,47000,1177879925,c,愛心卡,1122,386,926-FW,2021/7/1 12:59,14,大富,2021/7/1 13:17,17,瑞穗,0,20,18,2
ECC,47000,877957637,a,一般卡,1126,369,931-FW,2021/7/1 06:24,1,花蓮火車站,2021/7/1 06:56,3,花蓮工校,22,25,22,3
ECC,47000,1106208693,1,敬老卡,1126,369,931-FW,2021/7/1 06:54,3,花蓮工校,2021/7/1 07:05,6,北埔,0,13,11,2
ECC,47000,1745313189,1,敬老卡,1126,369,931-FW,2021/7/1 07:20,9,三棧派出所,2021/7/1 07:25,11,新城,0,13,11,2
ECC,47000,1745887141,1,敬老卡,1126,369,931-FW,2021/7/1 10:56,1,花蓮火車站,2021/7/1 11:12,1,花蓮火車站,0,12,11,1
ECC,47000,1177305205,c,愛心卡,1126,369,931-FW,2021/7/1 11:01,1,花蓮火車站,2021/7/1 11:07,1,花蓮火車站,0,12,11,1
ECC,47000,1876136936,c,愛心卡,1128,369,931-FW,2021/7/1 18:19,9,壽豐國中,2021/7/1 18:27,11,門諾醫院壽豐分院,0,13,11,2
ECC,47000,1876136936,c,愛心卡,1128,369,931-FW,2021/7/1 19:10,11,門諾醫院壽豐分院,2021/7/1 19:18,9,壽豐國中,0,13,11,2
ECC,47000,1177879925,c,愛心卡,1128,389,925-FW,2021/7/1 06:36,11,門諾醫院壽豐分院,2021/7/1 07:35,2,花蓮火車站,0,50,44,6
ECC,47000,1839818984,c,愛心卡,1128,389,925-FW,2021/7/1 07:26,4,仁和村,2021/7/1 07:33,2,花蓮火車站,0,14,12,2
ECC,47000,243954920,c,愛心卡,1128,389,925-FW,2021/7/1 07:31,2,花蓮火車站,2021/7/1 07:45,2,花蓮火車站,0,13,11,2
ECC,47000,122679521,a,一般卡,1129,287,977-FW,2021/7/1 07:25,1,花蓮火車站,2021/7/1 07:38,1,花蓮火車站,22,25,22,3
ECC,47000,1182373864,1,敬老卡,1129,287,977-FW,2021/7/1 07:45,1,花蓮火車站,2021/7/1 07:53,2,上美崙,0,13,11,2
ECC,47000,1682477157,1,敬老卡,1129,287,977-FW,2021/7/1 07:45,1,花蓮火車站,2021/7/1 08:25,11,新城,0,42,37,5
ECC,47000,3494355688,c,愛心卡,1129,287,977-FW,2021/7/1 08:22,10,外秀林,2021/7/1 08:31,13,太魯閣,0,13,11,2
ECC,47000,1681251653,c,愛心卡,1129,287,977-FW,2021/7/1 08:53,12,富世國小,2021/7/1 08:58,11,新城,0,13,11,2
ECC,47000,2236347368,1,敬老卡,1129,287,977-FW,2021/7/1 08:53,12,富世國小,2021/7/1 09:49,1,花蓮火車站,0,47,41,6
ECC,47000,2235045096,1,敬老卡,1129,287,977-FW,2021/7/1 08:53,12,富世國小,2021/7/1 09:49,1,花蓮火車站,0,47,41,6
ECC,47000,1745313189,1,敬老卡,1129,287,977-FW,2021/7/1 08:57,11,新城,2021/7/1 09:04,9,三棧派出所,0,13,11,2
ECC,47000,285010664,1,敬老卡,1129,287,977-FW,2021/7/1 09:15,7,康樂村,2021/7/1 09:20,6,北埔,0,13,11,2
ECC,47000,1745404437,1,敬老卡,1129,287,977-FW,2021/7/1 09:31,3,花蓮工校,2021/7/1 09:38,1,花蓮火車站,0,13,11,2
ECC,47000,1177305205,c,愛心卡,1129,287,977-FW,2021/7/1 09:32,3,花蓮工校,2021/7/1 09:41,1,花蓮火車站,0,13,11,2
ECC,47000,1208562581,c,愛心卡,1129,369,931-FW,2021/7/1 12:33,1,花蓮火車站,2021/7/1 13:47,13,太魯閣,0,48,42,6
ECC,47000,1208562581,c,愛心卡,1129,369,931-FW,2021/7/1 14:08,13,太魯閣,2021/7/1 15:13,1,花蓮火車站,0,48,42,6
ECC,47000,1177675573,c,愛心卡,1129,369,931-FW,2021/7/1 14:16,11,新城,2021/7/1 15:06,1,花蓮火車站,0,42,37,5
